endpoint,operation,data_size,cycles,time
client,digest,32,7779,3
server,verify,32,12965,4
server,digest,32,7779,2
client,verify,32,10372,3
client,digest,32,7779,3
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,7779,4
server,digest,32,7779,3
client,verify,32,10372,4
client,digest,32,36302,13
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,7779,3
server,verify,32,10372,3
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,7779,4
server,digest,32,10372,3
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,10372,3
server,digest,32,7779,2
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,10372,3
server,digest,32,7779,3
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,7779,4
server,digest,32,10372,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,10372,3
server,digest,32,7779,3
client,verify,32,7779,4
client,digest,32,7779,2
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,12965,4
client,digest,32,7779,2
server,verify,32,12965,5
server,digest,32,36302,14
client,verify,32,10372,3
client,digest,32,10372,3
server,verify,32,10372,4
server,digest,32,7779,2
client,verify,32,10372,3
client,digest,32,7779,3
server,verify,32,7779,4
server,digest,32,7779,3
client,verify,32,10372,4
client,digest,32,10372,3
server,verify,32,7779,4
server,digest,32,7779,2
client,verify,32,10372,4
client,digest,32,7779,3
server,verify,32,7779,3
server,digest,32,7779,2
client,verify,32,7779,4
client,digest,32,10372,3
server,verify,32,10372,4
server,digest,32,7779,2
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,10372,4
client,digest,32,7779,3
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,10372,3
server,verify,32,10372,4
server,digest,32,10372,3
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,10372,3
server,digest,32,10372,3
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,10372,3
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,10372,4
server,digest,32,7779,2
client,verify,32,10372,4
client,digest,32,10372,4
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,12965,4
client,digest,32,10372,3
server,verify,32,15558,5
server,digest,32,7779,2
client,verify,32,10372,5
client,digest,32,7779,2
server,verify,32,10372,3
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,7779,3
server,verify,32,10372,3
server,digest,32,7779,2
client,verify,32,7779,4
client,digest,32,7779,2
server,verify,32,10372,4
server,digest,32,7779,2
client,verify,32,7779,4
client,digest,32,7779,3
server,verify,32,12965,4
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,10372,3
server,verify,32,12965,4
server,digest,32,7779,3
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,10372,4
server,digest,32,7779,2
client,verify,32,10372,4
client,digest,32,10372,3
server,verify,32,10372,3
server,digest,32,10372,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,41488,16
server,digest,32,10372,3
client,verify,32,7779,3
client,digest,32,10372,3
server,verify,32,12965,4
server,digest,32,10372,3
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,12965,4
server,digest,32,7779,3
client,verify,32,7779,3
client,digest,32,7779,2
server,verify,32,10372,4
server,digest,32,10372,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,10372,4
server,digest,32,10372,3
client,verify,32,7779,4
client,digest,32,10372,4
server,verify,32,12965,4
server,digest,32,12965,4
client,verify,32,12965,4
client,digest,32,7779,3
server,verify,32,10372,3
server,digest,32,10372,3
client,verify,32,10372,3
client,digest,32,7779,3
server,verify,32,12965,4
server,digest,32,10372,3
client,verify,32,10372,4
client,digest,32,10372,3
server,verify,32,0,0
server,digest,32,243742,93
client,verify,32,46674,19
client,digest,32,7779,3
server,verify,32,18151,6
server,digest,32,15558,5
client,verify,32,20744,7
client,digest,32,7779,3
server,verify,32,12965,5
server,digest,32,0,0
client,verify,32,10372,3
client,digest,32,10372,4
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,12965,4
client,digest,32,7779,3
server,verify,32,10372,3
server,digest,32,10372,3
client,verify,32,12965,5
client,digest,32,7779,3
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,12965,5
server,digest,32,10372,3
client,verify,32,25930,9
client,digest,32,12965,3
server,verify,32,20744,7
server,digest,32,10372,3
client,verify,32,15558,4
client,digest,32,7779,3
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,10372,4
client,digest,32,7779,3
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,15558,5
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,10372,3
server,verify,32,12965,4
server,digest,32,12965,4
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,12965,4
server,digest,32,7779,3
client,verify,32,12965,4
client,digest,32,7779,2
server,verify,32,12965,5
server,digest,32,7779,2
client,verify,32,10372,3
client,digest,32,7779,3
server,verify,32,10372,3
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,15558,5
server,digest,32,10372,3
client,verify,32,12965,4
client,digest,32,7779,2
server,verify,32,7779,3
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,7779,4
server,digest,32,7779,3
client,verify,32,801237,310
client,digest,32,7779,3
server,verify,32,10372,4
server,digest,32,7779,2
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,10372,4
server,digest,32,7779,2
client,verify,32,12965,4
client,digest,32,7779,3
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,10372,4
client,digest,32,0,0
server,verify,32,10372,3
server,digest,32,10372,3
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,7779,4
server,digest,32,10372,3
client,verify,32,10372,4
client,digest,32,7779,3
server,verify,32,36302,3
server,digest,32,7779,2
client,verify,32,10372,4
client,digest,32,7779,2
server,verify,32,10372,4
server,digest,32,7779,3
client,verify,32,10372,3
client,digest,32,7779,3
server,verify,32,10372,3
server,digest,32,7779,2
client,verify,32,127057,4
client,digest,32,10372,3
server,verify,32,7779,4
server,digest,32,10372,3
client,verify,32,10372,3
client,digest,32,7779,2
server,verify,32,12965,4
server,digest,32,10372,4
client,verify,32,12965,4
