endpoint,operation,data_size,cycles,time
client,digest,32,64825,24
server,verify,32,95941,34
server,digest,32,57046,21
client,verify,32,85569,32
client,digest,32,44081,17
server,verify,32,41488,15
server,digest,32,31116,11
client,verify,32,41488,16
client,digest,32,31116,11
server,verify,32,41488,15
server,digest,32,31116,11
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,41488,16
client,digest,32,28523,10
server,verify,32,41488,15
server,digest,32,28523,11
client,verify,32,33709,14
client,digest,32,28523,11
server,verify,32,36302,14
server,digest,32,28523,11
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,0,0
client,digest,32,0,0
server,verify,32,0,0
server,digest,32,0,0
client,verify,32,111499,43
client,digest,32,28523,11
server,verify,32,41488,15
server,digest,32,31116,12
client,verify,32,38895,14
client,digest,32,31116,11
server,verify,32,38895,14
server,digest,32,31116,11
client,verify,32,36302,14
client,digest,32,31116,11
server,verify,32,36302,13
server,digest,32,28523,11
client,verify,32,41488,16
client,digest,32,31116,12
server,verify,32,46674,17
server,digest,32,31116,11
client,verify,32,36302,14
client,digest,32,41488,15
server,verify,32,36302,15
server,digest,32,28523,11
client,verify,32,38895,15
client,digest,32,31116,11
server,verify,32,44081,16
server,digest,32,31116,11
client,verify,32,41488,15
client,digest,32,31116,11
server,verify,32,41488,15
server,digest,32,31116,11
client,verify,32,67418,26
client,digest,32,33709,12
server,verify,32,38895,15
server,digest,32,28523,10
client,verify,32,38895,14
client,digest,32,28523,11
server,verify,32,38895,14
server,digest,32,28523,11
client,verify,32,38895,14
client,digest,32,28523,10
server,verify,32,38895,14
server,digest,32,31116,11
client,verify,32,38895,14
client,digest,32,31116,11
