endpoint,operation,input_size,cycles,usec
client,digest,16,20744,6
server,verify,16,18151,7
server,digest,16,10372,4
client,verify,16,12965,6
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,4
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,10372,5
server,digest,16,10372,3
client,verify,16,12965,4
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,12965,4
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,10372,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,10372,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,10372,5
client,digest,16,7779,4
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,7779,3
server,verify,16,20744,7
server,digest,16,18151,6
client,verify,16,15558,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,4
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,15558,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,10372,24
client,digest,16,10372,4
server,verify,16,10372,5
server,digest,16,7779,3
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,7779,3
server,verify,16,12965,4
server,digest,16,10372,3
client,verify,16,12965,4
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,10372,5
server,digest,16,10372,3
client,verify,16,12965,4
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,4
client,digest,16,12965,4
server,verify,16,12965,5
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,15558,6
server,digest,16,7779,4
client,verify,16,12965,4
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,5
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,15558,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,4
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,4
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,4
server,digest,16,7779,4
client,verify,16,12965,4
client,digest,16,7779,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,15558,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,12965,4
client,digest,16,12965,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,7779,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,7779,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,18151,7
server,digest,16,15558,5
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,64825,24
client,digest,16,10372,3
server,verify,16,20744,8
server,digest,16,15558,5
client,verify,16,23337,7
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,12965,4
client,verify,16,15558,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,10372,5
client,digest,16,10372,4
server,verify,16,64825,25
server,digest,16,10372,5
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,4
client,digest,16,12965,4
server,verify,16,25930,9
server,digest,16,20744,7
client,verify,16,20744,8
client,digest,16,18151,7
server,verify,16,25930,10
server,digest,16,20744,6
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,46674,19
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,10372,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,12965,4
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,10372,5
server,digest,16,7779,3
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,12965,4
server,digest,16,10372,4
client,verify,16,12965,4
client,digest,16,10372,3
server,verify,16,222998,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,12965,4
server,verify,16,12965,4
server,digest,16,10372,5
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,4
client,digest,16,12965,5
server,verify,16,15558,5
server,digest,16,18151,7
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,12965,4
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,7779,3
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,10372,5
client,digest,16,7779,3
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,41488,15
server,verify,16,12965,5
server,digest,16,12965,4
client,verify,16,20744,7
client,digest,16,20744,8
server,verify,16,23337,8
server,digest,16,12965,4
client,verify,16,15558,6
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,4
client,digest,16,41488,16
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,23337,9
server,digest,16,106313,43
client,verify,16,23337,8
client,digest,16,15558,7
server,verify,16,20744,8
server,digest,16,18151,7
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,93348,23
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,20744,8
server,digest,16,15558,5
client,verify,16,25930,9
client,digest,16,18151,6
server,verify,16,18151,6
server,digest,16,12965,4
client,verify,16,18151,8
client,digest,16,10372,4
server,verify,16,18151,6
server,digest,16,10372,4
client,verify,16,18151,6
client,digest,16,7779,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,23337,7
server,digest,16,20744,8
client,verify,16,25930,10
client,digest,16,20744,7
server,verify,16,18151,7
server,digest,16,10372,4
client,verify,16,15558,6
client,digest,16,10372,3
server,verify,16,12965,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,15558,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,15558,5
client,digest,16,7779,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,6
server,digest,16,10372,4
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,15558,6
server,digest,16,10372,4
client,verify,16,15558,6
client,digest,16,10372,4
server,verify,16,23337,9
server,digest,16,18151,6
client,verify,16,20744,8
client,digest,16,15558,5
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,6
client,digest,16,7779,4
server,verify,16,12965,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,12965,4
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,6
server,digest,16,10372,4
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,25930,9
server,digest,16,18151,6
client,verify,16,15558,7
client,digest,16,12965,6
server,verify,16,15558,6
server,digest,16,10372,4
client,verify,16,12965,6
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,23337,9
server,digest,16,23337,9
client,verify,16,12965,5
client,digest,16,12965,4
server,verify,16,12965,6
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,12965,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,25930,9
server,digest,16,20744,7
client,verify,16,23337,8
client,digest,16,18151,7
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,12965,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,15558,7
client,digest,16,10372,4
server,verify,16,18151,6
server,digest,16,10372,4
client,verify,16,20744,8
client,digest,16,10372,5
server,verify,16,23337,10
server,digest,16,12965,6
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,23337,8
server,digest,16,12965,6
client,verify,16,15558,5
client,digest,16,12965,4
server,verify,16,18151,8
server,digest,16,15558,5
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,20744,7
server,digest,16,15558,5
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,10372,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,12965,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,15558,5
client,digest,16,10372,3
server,verify,16,15558,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,25930,9
server,digest,16,18151,6
client,verify,16,20744,7
client,digest,16,15558,6
server,verify,16,18151,6
server,digest,16,18151,6
client,verify,16,25930,9
client,digest,16,18151,6
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,15558,5
client,digest,16,12965,4
server,verify,16,15558,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,15558,6
client,digest,16,12965,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,0,0
server,digest,16,0,378
client,verify,16,18151,6
client,digest,16,12965,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,6
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,10372,5
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,23337,8
server,digest,16,18151,6
client,verify,16,20744,7
client,digest,16,15558,6
server,verify,16,20744,8
server,digest,16,15558,6
client,verify,16,20744,8
client,digest,16,18151,6
server,verify,16,23337,8
server,digest,16,18151,6
client,verify,16,20744,8
client,digest,16,23337,9
server,verify,16,23337,8
server,digest,16,15558,7
client,verify,16,23337,8
client,digest,16,15558,6
server,verify,16,25930,10
server,digest,16,20744,6
client,verify,16,25930,9
client,digest,16,12965,6
server,verify,16,18151,6
server,digest,16,10372,4
client,verify,16,18151,7
client,digest,16,10372,4
server,verify,16,12965,6
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,5
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,12965,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,18151,6
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,15558,6
client,verify,16,18151,8
client,digest,16,15558,6
server,verify,16,25930,10
server,digest,16,12965,5
client,verify,16,25930,9
client,digest,16,15558,6
server,verify,16,140022,9
server,digest,16,12965,6
client,verify,16,28523,11
client,digest,16,18151,6
server,verify,16,33709,12
server,digest,16,15558,6
client,verify,16,28523,10
client,digest,16,12965,5
server,verify,16,20744,7
server,digest,16,12965,5
client,verify,16,18151,7
client,digest,16,12965,5
server,verify,16,33709,12
server,digest,16,20744,7
client,verify,16,36302,12
client,digest,16,18151,7
server,verify,16,28523,10
server,digest,16,18151,6
client,verify,16,23337,10
client,digest,16,12965,5
server,verify,16,36302,13
server,digest,16,20744,8
client,verify,16,20744,9
client,digest,16,12965,4
server,verify,16,12965,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,46674,17
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,15558,5
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,12965,6
server,digest,16,10372,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,10372,3
client,verify,16,15558,6
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,5
client,digest,16,0,0
server,verify,16,18151,6
server,digest,16,10372,4
client,verify,16,15558,6
client,digest,16,12965,4
server,verify,16,15558,5
server,digest,16,7779,4
client,verify,16,12965,6
client,digest,16,7779,4
server,verify,16,28523,9
server,digest,16,18151,7
client,verify,16,15558,6
client,digest,16,10372,4
server,verify,16,23337,8
server,digest,16,18151,7
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,51860,20
server,digest,16,18151,6
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,20744,8
server,digest,16,18151,7
client,verify,16,15558,5
client,digest,16,10372,4
server,verify,16,20744,8
server,digest,16,18151,6
client,verify,16,12965,5
client,digest,16,10372,3
server,verify,16,23337,7
server,digest,16,18151,6
client,verify,16,12965,5
client,digest,16,7779,4
server,verify,16,18151,6
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,15558,5
server,digest,16,12965,4
client,verify,16,12965,5
client,digest,16,10372,4
server,verify,16,0,0
server,digest,16,18151,7
client,verify,16,31116,11
client,digest,16,18151,7
server,verify,16,0,0
server,digest,16,15558,6
client,verify,16,20744,8
client,digest,16,12965,6
server,verify,16,18151,8
server,digest,16,15558,6
client,verify,16,18151,7
client,digest,16,12965,6
server,verify,16,18151,7
server,digest,16,12965,5
client,verify,16,18151,6
client,digest,16,12965,5
server,verify,16,18151,7
server,digest,16,15558,6
client,verify,16,0,0
client,digest,16,12965,5
server,verify,16,18151,6
server,digest,16,15558,5
client,verify,16,0,0
client,digest,16,15558,5
server,verify,16,18151,7
server,digest,16,0,0
client,verify,16,18151,6
client,digest,16,15558,5
server,verify,16,0,0
server,digest,16,15558,6
client,verify,16,0,0
client,digest,16,15558,6
server,verify,16,20744,7
server,digest,16,15558,7
client,verify,16,0,0
client,digest,16,15558,6
server,verify,16,20744,8
server,digest,16,15558,6
client,verify,16,20744,8
client,digest,16,15558,6
server,verify,16,20744,8
server,digest,16,15558,6
client,verify,16,0,0
client,digest,16,20744,7
server,verify,16,36302,13
server,digest,16,20744,8
client,verify,16,31116,11
client,digest,16,15558,6
server,verify,16,28523,10
server,digest,16,20744,7
client,verify,16,18151,7
client,digest,16,51860,20
server,verify,16,0,0
server,digest,16,10372,4
client,verify,16,0,0
client,digest,16,10372,3
server,verify,16,12965,5
server,digest,16,10372,4
client,verify,16,12965,5
